,products_id,products_name,products_model,url,image_url,format_products_price,format_final_price,products_price,final_price,discount,actDesc,wishlist,wish_count,is_new,codCountry,list_type,actListType,mjnz_all,mjnz,tip,title,sizeType,s_amount,s_total_price,s_format_special_total_price,logo_pro_image,showColor,colorImages,mjnz_all.4,mjnz.key,mjnz.value
0,1760352,Landscape Painting Print Hoodies,SKUG15478,https://sea.newchic.com/hoodies-12200/p-1760352.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AC/D3/c182cc74-bc43-4092-9a95-75ca344d86fc.jpg?s=360x480,,"Rp423,740.82",28.74,28.74,0,,False,10214,False,"AE,ID,MY,PH,SA,SG,TH,VN",1,0,,,,,1,,,,[],1,"[{'color': 'Yellow', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/79/65/2dff108c-4086-4023-8449-17e8c5be0738.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/79/65/2dff108c-4086-4023-8449-17e8c5be0738.jpg', 'selectImg': False}, {'color': 'Green', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/5B/B9/e3790a2b-4b8b-47bd-a00b-2b031f452336.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5B/B9/e3790a2b-4b8b-47bd-a00b-2b031f452336.jpg', 'selectImg': False}, {'color': 'Blue', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/5C/C3/ba27efb1-472d-4c77-aba6-5041d98e5c29.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5C/C3/ba27efb1-472d-4c77-aba6-5041d98e5c29.jpg', 'selectImg': False}, {'color': 'Pink', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/A3/C1/ffac5417-bd23-4175-ab7d-2a13320a97ee.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A3/C1/ffac5417-bd23-4175-ab7d-2a13320a97ee.jpg', 'selectImg': False}]",,,
1,1747009,Corduroy Colorblock Stitching Hooded Shirt,SKUG32858,https://sea.newchic.com/charmkpr-shirts-12209/p-1747009.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/66/21/9535ac34-af36-4805-b7b8-7ff2edac4c19.jpg?s=360x480,,"Rp508,518.48",34.49,34.49,0,,False,6192,False,"AE,ID,MY,PH,SA,SG,TH,VN",1,0,,,,,1,,,,[],1,"[{'color': 'Green', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/49/36/f2b7f6a1-1f73-42eb-8a42-fef579e349a7.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/49/36/f2b7f6a1-1f73-42eb-8a42-fef579e349a7.jpg', 'selectImg': False}, {'color': 'Khaki', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/66/21/9535ac34-af36-4805-b7b8-7ff2edac4c19.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/66/21/9535ac34-af36-4805-b7b8-7ff2edac4c19.jpg', 'selectImg': False}, {'color': 'Blue', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/44/42/8df9f758-598b-410f-a9e0-5c2bee71d329.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/44/42/8df9f758-598b-410f-a9e0-5c2bee71d329.jpg', 'selectImg': False}]",,,
2,1786168,Rose Japanese Character Print Hoodies,SKUG82882,https://sea.newchic.com/hoodies-12200/p-1786168.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/59/8F/f0e3e6c6-2674-4b4f-bdc6-be330c4531e8.jpeg?s=360x480,"Rp423,740.82","Rp381,425.72",28.74,25.87,10,,False,4943,False,"AE,ID,MY,PH,SA,SG,TH,VN",3,1,,,,,1,,,,[],1,"[{'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/D3/20/2427637d-f8b8-4329-af22-1e83b00cec54.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D3/20/2427637d-f8b8-4329-af22-1e83b00cec54.jpg', 'selectImg': False}, {'color': 'White', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/59/8F/f0e3e6c6-2674-4b4f-bdc6-be330c4531e8.jpeg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/59/8F/f0e3e6c6-2674-4b4f-bdc6-be330c4531e8.jpeg', 'selectImg': False}]",,,
3,1756875,Patchwork Zip Up Knit Cardigans,SKUG40506,https://sea.newchic.com/cardigans-12199/p-1756875.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/33/95/416cff31-1888-48e3-897a-f68e370da3d6.jpg?s=360x480,,"Rp610,104.22",41.38,41.38,0,,False,2236,False,"AE,ID,MY,PH,SA,SG,TH,VN",21,2,,,Buy 2 get 1 free,Get 1 items for 3,1,,,,[],1,"[{'color': 'Red', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/A6/FB/86bdb8cb-b2d9-493b-863f-3b8465743d70.jpeg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A6/FB/86bdb8cb-b2d9-493b-863f-3b8465743d70.jpeg', 'selectImg': False}, {'color': 'Blue', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/3E/8C/043c9beb-6037-4db8-a720-72c51865fa6c.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3E/8C/043c9beb-6037-4db8-a720-72c51865fa6c.jpg', 'selectImg': False}, {'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/C3/26/8371e501-a2e3-4623-9fe9-bd61ba0b5170.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C3/26/8371e501-a2e3-4623-9fe9-bd61ba0b5170.jpg', 'selectImg': False}, {'color': 'Gray', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/7A/CF/fa25e58b-3804-4965-90c6-dfa590243f49.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7A/CF/fa25e58b-3804-4965-90c6-dfa590243f49.jpg', 'selectImg': False}, {'color': 'Dark Gray', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/14/D4/1ed51a57-9c21-45aa-ad35-c9e2ee6f6807.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/14/D4/1ed51a57-9c21-45aa-ad35-c9e2ee6f6807.jpg', 'selectImg': False}]",,,
4,1860490,Letter Knitted Patchwork T-Shirt,SKUH83541,https://sea.newchic.com/charmkpr-t-shirts-12208/p-1860490.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/47/21/30e3e562-3841-4da4-a4fd-3a102d96bb58.jpg?s=360x480,,"Rp254,185.52",17.24,17.24,0,,False,8764,False,"AE,ID,MY,PH,SA,SG,TH,VN",1,0,,,,,1,,,,[],1,"[{'color': 'Dark Green', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/7F/33/d3c7a51d-3223-4b88-ae57-4025c61c0cf1.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7F/33/d3c7a51d-3223-4b88-ae57-4025c61c0cf1.jpg', 'selectImg': False}, {'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/47/21/30e3e562-3841-4da4-a4fd-3a102d96bb58.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/47/21/30e3e562-3841-4da4-a4fd-3a102d96bb58.jpg', 'selectImg': False}, {'color': 'Wine Red', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/D4/77/efacff16-3f43-4cd8-bb14-404425bd8b49.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D4/77/efacff16-3f43-4cd8-bb14-404425bd8b49.jpg', 'selectImg': False}]",,,
5,1727721,Plaid Contrast Faux Twinset Hoodies,SKUF86433,https://sea.newchic.com/hoodies-12200/p-1727721.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/EE/4ae1ff27-e74f-4577-9ee3-4136b3706c0f.jpg?s=360x480,,"Rp372,874.23",25.29,25.29,0,,False,9236,False,"AE,ID,MY,PH,SA,SG,TH,VN",17,2,,,Buy 4 pcs get 20% off,"Get 1 items for 3,Array,Buy 4 pcs get 20% off",1,,,,[],1,"[{'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/3A/EE/4ae1ff27-e74f-4577-9ee3-4136b3706c0f.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/EE/4ae1ff27-e74f-4577-9ee3-4136b3706c0f.jpg', 'selectImg': False}, {'color': 'White', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/D1/1C/b5da2003-c3e9-4b36-9c4a-3e1c0be93eb8.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D1/1C/b5da2003-c3e9-4b36-9c4a-3e1c0be93eb8.jpg', 'selectImg': False}, {'color': 'Gray', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/C8/C9/889079a8-94da-4bd0-a543-a5acbc5570a6.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C8/C9/889079a8-94da-4bd0-a543-a5acbc5570a6.jpg', 'selectImg': False}]",20.0,4.0,20.0
6,1711403,Cartoon Astronaut Print T-Shirts,SKUF70219,https://sea.newchic.com/t-shirts-12208/p-1711403.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/4E/EC/483e69d2-1e56-4bff-ac7b-0ec8238549b2.jpg?s=360x480,"Rp254,185.52","Rp215,998.71",17.24,14.65,15,,False,17654,False,"AE,ID,MY,PH,SA,SG,TH,VN",3,1,,,,,1,,,,[],1,"[{'color': 'Gray', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/05/53/8dee5fb9-9d5b-491f-9f45-6eb427f2ac10.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/53/8dee5fb9-9d5b-491f-9f45-6eb427f2ac10.jpg', 'selectImg': False}, {'color': 'White', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/CE/BB/22026725-7e2e-4cc2-be80-8bb51238aeec.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CE/BB/22026725-7e2e-4cc2-be80-8bb51238aeec.jpg', 'selectImg': False}, {'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/96/3D/38979aff-0c02-4055-a6fd-81d001a7defa.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/96/3D/38979aff-0c02-4055-a6fd-81d001a7defa.jpg', 'selectImg': False}, {'color': 'Khaki', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/5A/31/7895fafa-124e-4ea2-80e0-a10fed5ce59f.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5A/31/7895fafa-124e-4ea2-80e0-a10fed5ce59f.jpg', 'selectImg': False}, {'color': 'Blue', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/4E/14/8c4a8e0f-afa9-4da2-89e2-3a8fd6288e6e.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/4E/14/8c4a8e0f-afa9-4da2-89e2-3a8fd6288e6e.jpg', 'selectImg': False}]",,,
7,1871479,Contrasting Color Patchwork T-Shirt,SKUI04976,https://sea.newchic.com/charmkpr-t-shirts-12208/p-1871479.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1F/F7/a608e178-75f2-416f-b3e0-d5df209189e1.jpg?s=360x480,,"Rp305,052.11",20.69,20.69,0,,False,2841,False,"AE,ID,MY,PH,SA,SG,TH,VN",17,2,,,Buy 4 pcs get 20% off,"Get 1 items for 3,Array,Buy 4 pcs get 20% off,Array,Buy 4 pcs get 20% off",1,,,,[],1,"[{'color': 'Green', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/7E/F1/bd255e0b-c392-47d5-9ad2-698a35b865ac.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7E/F1/bd255e0b-c392-47d5-9ad2-698a35b865ac.jpg', 'selectImg': False}, {'color': 'Brown', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/CE/02/9eba053d-363a-45e4-8ac1-7acd451facd2.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CE/02/9eba053d-363a-45e4-8ac1-7acd451facd2.jpg', 'selectImg': False}, {'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/1F/F7/a608e178-75f2-416f-b3e0-d5df209189e1.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1F/F7/a608e178-75f2-416f-b3e0-d5df209189e1.jpg', 'selectImg': False}]",20.0,4.0,20.0
8,1702744,Solid Color Smile Face Print Shirts,SKUF38619,https://sea.newchic.com/shirts-12209/p-1702744.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/07/78/491af027-ee89-4305-8208-2f4e560cbe42.jpg?s=360x480,"Rp440,696.35","Rp396,611.97",29.89,26.9,10,,False,19062,False,"AE,ID,MY,PH,SA,SG,TH,VN",3,1,,,,,1,,,,[],1,"[{'color': 'White', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/77/0D/3df108db-8ec6-4a72-927b-5818f0799366.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/77/0D/3df108db-8ec6-4a72-927b-5818f0799366.jpg', 'selectImg': False}, {'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/2D/4A/ba3a6143-18f8-46b5-97d4-3678951db3db.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2D/4A/ba3a6143-18f8-46b5-97d4-3678951db3db.jpg', 'selectImg': False}, {'color': 'Gray', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/D8/C7/3e47d88b-40df-4293-94d7-8319e12655ee.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D8/C7/3e47d88b-40df-4293-94d7-8319e12655ee.jpg', 'selectImg': False}]",,,
9,1807006,Rose Print Japanese Characters T-Shirt,SKUG82879,https://sea.newchic.com/t-shirts-12208/p-1807006.html,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C0/95/a52964b2-0eec-45d3-a0fe-67aca9365074.jpg?s=360x480,,"Rp254,185.52",17.24,17.24,0,,False,8243,False,"AE,ID,MY,PH,SA,SG,TH,VN",1,0,,,,,1,,,,[],1,"[{'color': 'Blue', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/3B/40/c7b2b67e-b031-40af-889c-1a3aa98ac9b0.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3B/40/c7b2b67e-b031-40af-889c-1a3aa98ac9b0.jpg', 'selectImg': False}, {'color': 'Pink', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/5F/0C/cebfcc9e-bc6f-43ec-bc39-6ac6b71b32cc.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5F/0C/cebfcc9e-bc6f-43ec-bc39-6ac6b71b32cc.jpg', 'selectImg': False}, {'color': 'White', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/C0/95/a52964b2-0eec-45d3-a0fe-67aca9365074.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C0/95/a52964b2-0eec-45d3-a0fe-67aca9365074.jpg', 'selectImg': False}, {'color': 'Black', 'list_grid': 'https://imgaz1.chiccdn.com/thumb/other_items/oaupload/newchic/images/3F/A4/e6f667d4-b8cb-4a05-aa63-0e73e6ccc52c.jpg', 'view': 'https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/A4/e6f667d4-b8cb-4a05-aa63-0e73e6ccc52c.jpg', 'selectImg': False}]",,,
